global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
266000,129,phase_a_12_16,full,path,110.76840195700424,2401.4068570137024,8432.007535529316,2.541703967848834,0.3675929813843728,12.98,0.0,0.0,0.0,-0.0012884738825960085,0.0011979197292930621,3.849740231409669,0.02056158712366596,0.00023384615384615382,0.0,0.0,0.0,0.0,0.5837356328982358
286000,139,phase_a_12_16,full,path,111.03198474413048,2575.8343477249146,8231.862216155845,2.448838273288734,0.33457315537999,12.955,0.0,0.0,0.0,-0.0007365461206063628,0.0015415151769957447,3.833785653114319,0.010652530370862223,0.00022871794871794868,0.0,0.0,0.0,0.0,0.5837356328982358
306000,149,phase_a_12_16,full,path,111.31389182109872,2748.9830334186554,8031.342587830974,2.447322917990036,0.33546959325016007,13.015,0.0,0.0,0.0,-0.0019307027905597351,0.0015708700198047154,3.82906161993742,0.018212466973636765,0.00022358974358974358,0.0,0.0,0.0,0.0,0.5837356328982358
326000,159,phase_a_12_16,full,path,111.60736705620184,2920.9541323184967,7831.024268853884,2.457748651934613,0.3322333975449707,12.965,0.0,0.0,0.0,0.014300637547421502,0.001735804750751413,3.7676909007132053,0.031035308187711053,0.00021846153846153847,0.0,0.0,0.0,0.0,0.5837356328982358
346000,168,phase_a_12_16,full,path,112.47147685825328,3076.335526704788,7593.036242213552,2.409761322921371,0.310062535840272,12.945,0.0,0.0,0.0,-0.0003958213055739179,0.0011575246167012665,3.8020928371697664,0.0187285749707371,0.00021384615384615385,0.0,0.0,0.0,0.0,0.5837356328982358
366000,178,phase_a_12_16,full,path,112.58364542304484,3250.9162287712097,7407.825504904888,2.518618143068499,0.33936290064865154,13.025,0.0,0.0,0.0,-0.003949448073399253,0.0012846057459228177,3.7821546643972397,0.02147504105232656,0.00020871794871794868,0.0,0.0,0.0,0.0,0.5837356328982358
386000,188,phase_a_12_16,full,path,112.72595638010883,3424.2335340976715,7221.0520641334315,2.478099160622243,0.32975851983197435,12.95,0.0,0.0,0.0,-0.003182428947184235,0.0010480075204668537,3.907378666102886,0.0267439504241338,0.00020358974358974358,0.0,0.0,0.0,0.0,0.5837356328982358
406000,198,phase_b_16_32,full,path,101.92736817595404,3983.2285211086273,7789.860703842981,2.690277614095153,0.3650669582437066,14.575,0.0,0.0,0.0,0.0066771007477655075,0.0024952923836281116,4.575859013944864,0.01619422817020677,0.00019846153846153844,0.0,0.0,0.0,0.0,0.5837356328982358
426000,208,phase_b_16_32,full,path,81.98848419762328,5195.851639032364,9440.350161058803,3.419732611826584,0.3835964880363187,22.125,0.0,0.0,0.0,-0.003586461691156728,0.0008878218590098186,4.689053274691105,0.004318999781389721,0.0001933333333333333,0.0,0.0,0.0,0.0,0.5837356328982358
446000,217,phase_b_16_32,full,path,69.9547020085718,6375.554282903671,10778.403428944772,3.3402420632335317,0.33092490064013447,23.12,0.0,0.0,0.0,0.0035102279725833796,0.0008728933003112616,4.6258566081523895,0.019953202281612903,0.00018871794871794869,0.0,0.0,0.0,0.0,0.5837356328982358
