n,density,rho,m,density_actual,rho_actual,rho_conn,rho_conn_actual,m_max,m_actual,repeat_idx,method,method_label,warm_start_mode,completion_method,init_edges,residual_budget,lambda2,runtime_init_s,runtime_complete_s,runtime_lambda2_s,runtime_total_s
8,0.6428571428571429,0.6428571428571429,18,0.6428571428571429,0.6428571428571429,0.5238095238095238,0.5238095238095238,28,18,2,path_mac,MAC,path,mac,7,11,2.5857864376268997,4.399043973535299e-06,0.0030384479905478656,2.662598853930831e-05,0.0030694730230607092
8,0.6785714285714286,0.6785714285714286,19,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.5714285714285714,28,19,2,path_mac,MAC,path,mac,7,12,3.5188056959079836,4.389963578432798e-06,0.003032247012015432,2.6717025320976973e-05,0.003063354000914842
8,0.7142857142857143,0.7142857142857143,20,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.6190476190476191,28,20,2,path_mac,MAC,path,mac,7,13,2.90213320977716,4.36900882050395e-06,0.003040627983864397,2.5313987862318754e-05,0.0030703109805472195
8,0.75,0.75,21,0.75,0.75,0.6666666666666666,0.6666666666666666,28,21,2,path_mac,MAC,path,mac,7,14,3.6570769172228266,4.337984137237072e-06,0.0030338740325532854,2.6748981326818466e-05,0.003064960998017341
8,0.7857142857142857,0.7857142857142857,22,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7142857142857143,28,22,2,path_mac,MAC,path,mac,7,15,4.381966011250102,4.2460160329937935e-06,0.0030192239792086184,2.6806024834513664e-05,0.003050276020076126
8,0.8214285714285714,0.8214285714285714,23,0.8214285714285714,0.8214285714285714,0.7619047619047619,0.7619047619047619,28,23,2,path_mac,MAC,path,mac,7,16,4.585786437626906,4.302011802792549e-06,0.0030179430032148957,2.5435991119593382e-05,0.0030476810061372817
8,0.8571428571428571,0.8571428571428571,24,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095,28,24,2,path_mac,MAC,path,mac,7,17,4.999999999999999,4.337984137237072e-06,0.002997928997501731,2.630503149703145e-05,0.0030285720131359994
8,0.8928571428571429,0.8928571428571429,25,0.8928571428571429,0.8928571428571429,0.8571428571428571,0.8571428571428571,28,25,2,path_mac,MAC,path,mac,7,18,4.585786437626904,4.469009581953287e-06,0.003004547965247184,2.585398033261299e-05,0.0030348709551617503
8,0.9285714285714286,0.9285714285714286,26,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.9047619047619048,28,26,2,path_mac,MAC,path,mac,7,19,6.0,4.389032255858183e-06,0.003008674015291035,2.5946996174752712e-05,0.003039010043721646
8,0.9642857142857143,0.9642857142857143,27,0.9642857142857143,0.9642857142857143,0.9523809523809523,0.9523809523809523,28,27,2,path_mac,MAC,path,mac,7,20,6.0,4.295026883482933e-06,0.003004886966664344,2.521101851016283e-05,0.00303439301205799
8,0.2857142857142857,0.2857142857142857,8,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.047619047619047616,28,8,3,path_mac,MAC,path,mac,7,1,0.3376036697878202,4.327972419559956e-06,0.003012646979186684,2.662901533767581e-05,0.0030436039669439197
